,CD4.prot,CD8A.prot
752503,5734,63
187120,2226,102
352573,3835,49
35153,4654,466
810616,4077,302
647415,2122,32
842098,2101,46
630936,4173,392
561650,4366,93
584298,3103,46
323611,138,127
133143,1572,17
35498,3747,76
352162,4588,46
884119,6522,83
384374,2571,60
302907,1669,92
101103,3108,77
396137,1107,42
194101,9144,116
19786,2560,25
628536,4259,229
686228,7001,173
87939,5363,73
384244,1398,44
571161,3854,50
407661,6877,463
529720,39,451
63596,1802,37
218914,4629,147
251576,8663,108
697496,285,4138
155047,2077,87
498606,1999,30
467673,3947,82
59617,5403,111
460335,5451,223
236187,4025,232
365096,3394,77
84155,6096,55
199467,111,291
594161,1240,66
407522,5547,228
492898,60,130
146303,3063,62
826241,2288,79
44439,3749,128
456068,3362,59
312526,1182,74
152787,5193,75
248653,4229,102
870637,8383,92
657316,3925,413
708092,3287,54
371358,72,5076
465739,1900,48
640931,37,73
390416,980,47
88024,1834,75
503175,2478,251
300616,840,81
538856,5399,189
661022,3001,58
411130,2217,51
393250,3017,76
654103,1784,87
799650,1125,126
654371,1498,80
131608,3008,84
548788,3992,43
820016,2389,80
249774,1178,129
407860,1124,73
484594,1814,51
34514,7549,173
636717,4760,99
611863,2796,37
508204,2406,19
83192,6237,727
391495,4243,44
602588,1514,94
2312,4139,115
631396,461,45
332297,4046,39
439203,587,62
425780,4685,89
105502,736,56
155011,581,33
508217,3247,279
863327,2965,69
269316,1786,79
448588,1451,96
858244,2809,95
151816,1227,22
375417,226,321
605929,1285,68
111654,2523,27
471666,1373,167
193941,2021,47
807909,953,63
457128,4827,92
509372,1828,50
338125,244,1238
491657,3832,69
37884,3879,72
156613,1957,83
795331,2589,155
361096,1527,27
500158,89,197
109010,2976,221
363273,2631,43
807139,3739,100
752292,311,226
473887,4426,41
790905,6218,149
274537,3831,48
30607,6354,150
65332,2802,103
479873,700,159
368393,2368,24
724691,4094,107
203376,5307,405
511798,981,122
840227,2033,88
530570,4222,93
223072,84,61
590374,62,221
414726,35,45
223610,1538,96
686407,2672,35
753508,2455,5418
602089,715,28
9168,4604,300
281028,3925,67
176380,364,467
302770,5170,72
263,1339,104
195739,1897,77
65589,2057,45
102766,4916,59
425060,5304,74
775066,3322,71
401334,2154,118
92714,4804,163
679868,3350,62
838597,5497,136
217252,462,20
300479,305,119
751239,2218,59
436583,76,188
437160,1237,26
712575,2665,26
794824,1666,44
356506,3267,62
251526,9191,320
642311,1712,52
212930,2480,452
197741,1715,72
76067,933,154
219630,2321,43
245296,2509,184
375567,2601,55
653093,3228,101
447589,2160,33
198744,3898,394
631347,1268,61
616069,3491,390
256375,2286,303
362071,801,36
203820,5586,341
60266,2534,62
210906,1329,145
439143,6692,544
8552,1268,93
521085,1213,83
137127,5740,425
205025,994,222
224469,4095,161
33837,4911,456
575806,1560,26
869480,2358,51
190560,4338,39
586880,4063,30
596089,7431,316
758046,3633,9
621445,2376,45
33410,2071,59
235225,1455,40
98644,3888,47
148889,2824,59
395160,1765,39
132846,1712,107
378980,1576,45
231481,5694,234
822837,811,16
306759,8116,134
747299,44,147
217139,2546,248
257094,1896,52
463999,1836,87
791913,145,93
49310,5877,237
726806,7166,205
747022,2811,217
630155,4180,199
506343,1061,24
830029,4047,65
158695,2953,83
803121,3571,122
542689,3810,473
397337,1753,36
105197,2031,32
77965,2448,83
236190,2939,199
601624,5192,96
776570,2326,57
792941,125,250
159084,1433,35
200862,2329,86
664053,9400,745
292421,4083,20
492748,1509,26
821693,2279,73
163909,5047,224
622199,3444,161
437930,75,205
230770,1876,35
533010,1602,93
548665,1260,67
121159,6890,35
249288,1751,78
378824,39,116
379255,1530,149
563669,3421,51
257491,4017,39
219706,1613,145
333349,6579,754
254384,3645,927
637397,7564,158
830392,5642,253
27593,2853,32
82443,403,1195
321493,1269,35
692983,4913,50
762288,3478,89
633440,63,160
13168,2913,48
496745,1355,127
747024,2618,141
202772,1898,135
573503,2154,89
404453,1271,63
869139,5835,99
480371,1344,26
153678,69,114
459302,3258,72
291967,2602,153
466273,3560,316
162185,2376,56
350205,1904,49
788351,3935,27
442138,1240,38
498239,2240,104
96365,2566,55
470348,2766,214
571510,1146,125
757172,5492,58
450059,4939,34
504508,19,2072
120104,3928,90
493728,4729,80
254589,1854,143
141689,1928,80
875564,2250,33
192426,4046,264
485011,3066,242
846136,4472,56
750854,2896,49
80528,2045,103
451361,5325,166
695549,2298,125
546801,5559,66
648944,1048,63
286292,32,79
329432,434,13
378603,1936,67
202393,11,39
266092,3136,111
373372,772,134
173677,1060,40
731104,3603,217
801616,1726,178
127034,370,42
456872,3597,120
705173,54,84
796003,1882,259
97633,2184,129
337878,4117,24
635949,2198,44
626123,3643,39
273456,2532,67
739400,2775,119
593247,5112,106
663540,2608,121
819171,3768,62
632778,2804,92
529249,1619,85
432799,2325,60
445457,3034,64
6134,1605,73
72040,53,95
744877,1690,94
62634,21,32
194505,1731,210
324544,4136,68
458975,1529,82
216496,4317,181
293569,3457,100
479135,3373,379
171754,4760,55
625687,3792,108
858668,2111,78
653099,37,68
488034,4033,37
525089,3455,124
770218,6387,262
191519,2574,190
297025,3106,43
762968,51,160
449267,2795,53
369110,2515,51
652760,3517,79
208490,1166,159
102022,2626,64
458916,178,26
609834,73,167
301817,1543,340
592,2468,52
126410,5034,67
219101,3955,57
707232,1276,85
425232,4154,67
455562,837,280
496160,1979,121
61938,5119,80
172506,2366,89
725145,4865,146
279545,28,102
18393,2544,45
556352,2304,598
852205,1940,44
200287,3831,117
570966,3401,126
648542,2415,34
595451,2124,50
45720,363,63
128065,4860,97
673223,3408,79
532869,1612,81
735977,1743,23
126290,2775,70
379433,41,68
358640,4039,67
505412,4570,40
130652,1534,56
523604,4021,81
656865,3132,58
251705,3129,55
722812,1510,78
356156,2098,85
345440,3340,28
39670,2002,69
125292,1304,243
750293,4628,60
577900,2860,100
238746,2717,459
574177,527,55
120267,2071,116
617444,13,36
845023,2107,85
133202,4929,117
346178,6626,492
649928,49,5803
238596,1406,47
586170,6137,62
93316,3176,47
836374,2275,100
323446,3528,91
385496,1945,79
554688,4953,42
58870,1878,35
318451,4166,100
384813,2778,61
619731,519,28
257918,1721,41
281653,1781,96
66518,880,26
500705,3883,36
7206,4305,61
450454,1489,122
381087,3847,78
581374,2588,70
468508,3920,32
31532,46,108
451351,1249,126
268955,2033,67
561214,2193,117
34188,55,3072
163320,2868,41
483566,4969,237
96276,468,105
607183,5071,292
691081,2138,117
218204,6878,200
822797,2848,82
91723,4845,50
488607,2146,3905
99115,3747,69
169893,3472,31
172404,5075,70
380630,4701,127
235409,1968,29
216383,1277,23
548336,1721,48
609938,4824,82
235264,2065,59
433777,2722,48
613103,3258,75
472879,1730,28
505731,2900,163
625620,1682,94
661751,20,95
36445,4371,77
537382,922,185
560881,2880,123
555728,88,222
457370,3801,48
100484,5907,60
617946,4108,72
682603,3383,186
865009,1805,55
396665,926,78
381577,1717,50
309695,3281,63
513690,1224,287
108251,1964,163
637200,104,126
361038,5041,54
7023,4633,67
824758,2234,56
322965,4318,59
592628,3989,59
642751,3444,71
45911,15,28
587425,2675,48
510848,23,55
363254,7,19
712162,2834,43
793633,2106,101
475301,3443,115
845082,906,173
523799,3485,65
676729,4319,277
771378,2009,78
596814,3696,58
357027,4289,92
237709,1349,46
720577,2621,201
855063,1759,66
231147,2976,46
805,4563,47
207320,2892,85
863922,1004,57
610047,2856,57
229793,2555,60
626080,32,79
533143,1279,20
260037,1540,28
272259,29,51
466043,2705,110
435831,3194,25
606122,487,25
501355,4479,48
879904,58,127
10351,2469,72
627171,1712,50
412191,2112,114
357321,3478,31
74783,4048,65
810314,1684,22
859314,2252,168
13202,2347,82
58888,2909,64
556715,3854,60
605714,2357,32
83410,2326,27
338296,765,51
379475,3863,26
526976,1599,79
672429,5780,83
603940,2563,110
720260,1773,60
456528,2898,95
197345,1925,105
187574,2591,61
526608,2176,107
645270,6363,162
31556,4506,85
142925,3953,7091
882356,3679,69
394278,4383,57
499569,1231,67
401139,3496,79
456193,36,67
45103,2946,58
443691,1981,32
189482,2526,98
611145,2212,45
742770,1539,54
160003,9892,97
402499,1860,119
190607,73,244
482807,2915,35
766338,4277,44
37783,3151,102
427819,2998,148
74594,4696,56
65714,1276,393
342199,2192,49
813533,3845,60
880246,4431,109
163834,1720,46
620639,732,1358
312882,3354,146
215819,2368,78
456097,4327,99
543350,2164,166
296578,4225,63
303866,2298,56
335455,4738,190
718184,17,2914
473285,1374,34
201932,2006,63
846765,5973,116
152720,3220,110
213359,3,0
446606,4215,50
532743,1272,287
710065,3589,210
128491,4914,73
744841,686,78
138763,3179,57
346498,2455,43
578590,2268,343
575065,3653,53
799432,836,14
419246,1608,53
387036,937,49
639556,2460,45
630877,1525,35
846331,1668,413
