,CD4.prot,CD8A.prot
752503,1.2083619,0.09433628
187120,1.0047646,0.17653243
352573,1.1872197,0.10080117
35153,0.88569856,0.24266493
810616,0.93242776,0.21538633
647415,1.1628741,0.10807372
842098,1.1115906,0.1280263
630936,0.8956157,0.23666666
561650,1.1170969,0.12710714
584298,1.1665552,0.10770203
323611,0.5366643,0.512174
133143,1.204844,0.0918913
35498,1.1237277,0.12426695
352162,1.2198973,0.090247594
884119,1.1889063,0.10099893
384374,1.1031629,0.13194607
302907,0.9765851,0.19046548
101103,1.0950828,0.13564864
396137,1.0309112,0.16210438
194101,1.1898092,0.10101119
19786,1.2210284,0.08844367
628536,0.9814087,0.18905716
686228,1.0965126,0.13592823
87939,1.1794506,0.10402873
384244,1.0587554,0.14977846
571161,1.1851845,0.10151594
407661,0.9473568,0.20738463
529720,0.22687824,0.90467155
63596,1.1200098,0.12417715
218914,1.0598209,0.15140016
251576,1.1921014,0.10019107
697496,0.20917128,0.94363415
155047,1.017997,0.1699043
498606,1.1632605,0.107741475
467673,1.120452,0.12563889
59617,1.122503,0.12519945
460335,1.0226161,0.16874091
236187,0.97082275,0.19452856
365096,1.1077535,0.13053827
84155,1.2344446,0.086137384
199467,0.39108753,0.67244387
594161,0.9812402,0.18739922
407522,1.0219262,0.1690828
492898,0.41445184,0.6407092
146303,1.1235927,0.12399217
826241,1.0465958,0.15650366
44439,1.0489898,0.15608692
456068,1.1436597,0.11636605
312526,0.95668733,0.20039791
152787,1.1713299,0.106850654
248653,1.0994166,0.13426244
870637,1.2091898,0.094501555
657316,0.8778712,0.24734262
708092,1.1526933,0.11292182
371358,0.10596335,1.1737449
465739,1.0911167,0.136335
640931,0.42480904,0.62362605
390416,0.9960941,0.17902753
88024,1.0213077,0.1680671
503175,0.8835739,0.24356309
300616,0.88985497,0.23810367
538856,1.045677,0.15792939
661022,1.1299984,0.12142952
411130,1.104805,0.13095033
393250,1.0926523,0.13662368
654103,0.9950937,0.18102993
799650,0.8671069,0.25276363
654371,0.9811492,0.18787119
131608,1.0778743,0.14294055
548788,1.2100487,0.09317994
820016,1.0511451,0.15448609
249774,0.870679,0.25060785
407860,0.9510154,0.20338601
484594,1.0757535,0.14287563
34514,1.1073552,0.13153435
636717,1.1205953,0.12581708
611863,1.1815093,0.102105826
508204,1.2476232,0.07978147
83192,0.86196756,0.2573732
391495,1.2152373,0.09160461
602588,0.9584272,0.19996744
2312,1.0790875,0.14282976
631396,0.88627017,0.23824587
332297,1.224652,0.08848457
439203,0.87491906,0.24627008
425780,1.1332914,0.12083082
105502,0.9258774,0.21636161
155011,0.968941,0.19123214
508217,0.9093473,0.22843032
863327,1.1038833,0.13190985
269316,1.0096353,0.1737375
448588,0.94869554,0.20520242
858244,1.0499816,0.15527283
151816,1.1366702,0.11602068
375417,0.47471055,0.57811373
605929,0.9821922,0.18698825
111654,1.2091035,0.09233397
471666,0.85444987,0.26106998
193941,1.1029994,0.1314784
807909,0.9479377,0.20465833
457128,1.132878,0.12102655
509372,1.0797029,0.14116456
338125,0.3123483,0.778283
491657,1.140387,0.11782986
37884,1.1361898,0.11945737
156613,1.0160453,0.17075238
795331,0.96467793,0.19738251
361096,1.1397977,0.11572753
500158,0.41267306,0.6452916
109010,0.93183756,0.21549119
363273,1.152757,0.11242515
807139,1.0844387,0.14041395
752292,0.57328594,0.4791874
473887,1.2301211,0.086939305
790905,1.1008065,0.13406557
274537,1.1898404,0.0998954
30607,1.1029637,0.13319725
65332,1.0377584,0.16092747
479873,0.7552869,0.32822275
368393,1.2158256,0.08988963
724691,1.0878788,0.13905913
203376,0.92795604,0.21804199
511798,0.85055685,0.26303452
840227,1.0130897,0.17226835
530570,1.1123042,0.12899053
223072,0.57028353,0.47618335
590374,0.35171795,0.7197247
414726,0.48280784,0.556584
223610,0.95764583,0.20041946
686407,1.1827024,0.101567484
753508,0.41514078,0.64727396
602089,1.0243895,0.1634542
9168,0.9521923,0.20456178
281028,1.1478302,0.11504776
176380,0.48959064,0.56308633
302770,1.1762764,0.10509395
263,0.9240409,0.21890794
195739,1.0224769,0.16756606
65589,1.1116381,0.12795348
102766,1.196238,0.09814225
425060,1.1760788,0.10519723
775066,1.1161373,0.12710696
401334,0.9779119,0.19017628
92714,1.0501661,0.15578696
679868,1.136284,0.11918471
838597,1.0961063,0.13590528
217252,1.0071883,0.16946945
300479,0.6690061,0.3940986
751239,1.0842035,0.13965805
436583,0.39782077,0.6623714
437160,1.1150583,0.12483832
712575,1.2213595,0.08846468
794824,1.0843999,0.1388742
356506,1.1327384,0.120514676
251526,1.0468118,0.1577145
642311,1.0645003,0.1477346
212930,0.7910752,0.3038941
197741,1.0172875,0.1698903
76067,0.80602455,0.2925619
219630,1.1351334,0.118863545
245296,0.93362546,0.2143306
375567,1.1170735,0.1262838
653093,1.0615351,0.15023738
447589,1.1611924,0.1087508
198744,0.8841539,0.2435134
631347,0.99638754,0.1796317
616069,0.86844105,0.25309432
256375,0.84135896,0.2700073
362071,1.004902,0.1737692
203820,0.9622664,0.19925421
60266,1.0964282,0.13472693
210906,0.87140703,0.25034356
439143,0.91826296,0.22364634
8552,0.93273306,0.21385413
521085,0.9432453,0.20786196
137127,0.9326539,0.21543722
205025,0.75831914,0.326523
224469,1.0282841,0.16581783
33837,0.8974908,0.23563097
575806,1.1479151,0.11265411
869480,1.1136441,0.12746152
190560,1.2339381,0.08570746
586880,1.2588798,0.0780144
596089,1.0170257,0.1716025
758046,1.3859488,0.045098726
621445,1.1321619,0.1200831
33410,1.0742166,0.14385933
235225,1.0782318,0.14116712
98644,1.1946706,0.09827162
148889,1.1189694,0.12568493
395160,1.1097171,0.12832321
132846,0.95761895,0.20061721
378980,1.0731086,0.14366966
231481,1.0219705,0.16907825
822837,1.120766,0.120156124
306759,1.1535461,0.11373402
747299,0.35853776,0.70807266
217139,0.8896891,0.23988706
257094,1.079423,0.14137664
463999,0.9994377,0.17888379
791913,0.59081775,0.46018586
49310,1.0248034,0.16774462
726806,1.0754024,0.14488287
747022,0.92581904,0.21884266
630155,0.9997467,0.17973302
506343,1.1040771,0.12874879
830029,1.1562877,0.111946404
158695,1.0769091,0.14333183
803121,1.0488379,0.15610284
542689,0.8519045,0.26354125
397337,1.1198792,0.1241456
105197,1.1567694,0.11021287
77965,1.0493793,0.15533666
236190,0.94601107,0.20760551
601624,1.1372278,0.11943817
